bin,violationissuedate,violationnumber,violationtype,violationremarks,violationstatus,devicenumber,devicetype,cycleenddate,borough,block,lot,housenumber,street,city,state,zip,bbl,postcode,latitude,longitude,communityboard,councildistrict,censustract2020,neighborhoodtabulationareanta2020
2083557,2004-04-21,042104LL108102223,LL1081,,Active,2P1259,Elevator,2003-12-31,Bronx,5754,90,225,WEST 232 STREET,New York,New York,,2057540090,10463,40.880352,-73.904318,208,11,287,Kingsbridge-Marble Hill
2124437,2023-10-02,VIO-FTC-VT-PER-202212-0009464,FTC-VT-PER-CO,Violation Issued-Failure To File 2022 Periodic Inspection Affirmation of Correction,Active,2P11355,Elevator,2022-12-31,Bronx,5796,117,3620,OXFORD AVENUE,New York,New York,,2057960117,10463,40.886967,-73.908554,208,11,295,Riverdale-Spuyten Duyvil
3053953,2008-01-03,010308LL629110700,LL6291,,Active,30000039298Y0001,Boiler,2007-12-31,Brooklyn,1867,21,132,HERKIMER STREET,New York,New York,,3018670021,11216,40.679583,-73.948743,303,36,247,Bedford-Stuyvesant (West)
2002815,2023-10-23,VIO-FTC-VT-CAT1-202112-0006651,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P594,Elevator,2021-12-31,Bronx,2461,58,960,GRAND CONCOURSE,New York,New York,,2024610058,10451,40.829305,-73.921346,204,16,18301,Concourse-Concourse Village
4029194,2011-12-13,121311LBLVIO18270,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2010 INSPECTION REPORT,Active,40000011038Y0001,Boiler,2010-11-15,Queens,1268,1,81-06,34 AVENUE,New York,New York,,4012680001,11372,40.753644,-73.885785,403,25,283,Jackson Heights
2002814,2003-03-21,032103LL108101460,LL1081,,Active,2P635,Elevator,2002-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
1060908,2023-10-23,VIO-FTC-VT-CAT1-201912-0007683,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2019 Cat1 Test Affirmation of Correction,Active,1P15971,Elevator,2019-12-31,Manhattan,2048,25,105,EDGECOMBE AVENUE,New York,New York,,1020480025,10030,40.819948,-73.945849,110,9,22102,Harlem (North)
1051595,2023-10-23,VIO-FTC-VT-CAT1-201912-0002504,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2019 Cat1 Test Affirmation of Correction,Active,1P13509,Elevator,2019-12-31,Manhattan,1614,69,1274,5 AVENUE,New York,New York,,1016140069,10029,40.79606,-73.949791,111,9,17401,East Harlem (South)
3078694,2001-02-27,022701LL629119559,LL6291,,Active,30000058291Y0001,Boiler,2000-12-31,Brooklyn,3406,57,1229,HALSEY STREET,New York,New York,,3034060057,11237,40.693356,-73.907745,304,37,437,Bushwick (East)
3063299,2014-05-15,051514LBLVIO10886,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2012 INSPECTION REPORT,Active,30000103053N0001,Boiler,2012-12-31,Brooklyn,2433,15,224,SOUTH    3 STREET,New York,New York,,3024330015,11211,40.711136,-73.958775,301,34,523,Williamsburg
2124437,2023-10-23,VIO-FTC-VT-CAT1-201912-0008016,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2019 Cat1 Test Affirmation of Correction,Active,2P11354,Elevator,2019-12-31,Bronx,5796,117,3620,OXFORD AVENUE,New York,New York,,2057960117,10463,40.886967,-73.908554,208,11,295,Riverdale-Spuyten Duyvil
2017465,2023-10-23,VIO-FTC-VT-CAT1-202112-0005142,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P1695,Elevator,2021-12-31,Bronx,3315,89,2805,GRAND CONCOURSE,New York,New York,,2033150089,10468,40.869195,-73.892012,207,14,40303,Bedford Park
1062935,2023-10-23,VIO-FTC-VT-CAT1-202112-0007555,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,1P10293,Elevator,2021-12-31,Manhattan,2122,105,558,WEST 164 STREET,New York,New York,,1021220105,10032,40.838014,-73.940731,112,10,245,Washington Heights (South)
2014941,2002-02-19,021902LL108102072,LL1081,,Active,2P535,Elevator,2001-12-31,Bronx,3225,94,2300,LORING PLACE,New York,New York,,2032250094,10468,40.861675,-73.908416,207,14,255,University Heights (North)-Fordham
2002849,2023-10-02,VIO-FTC-VT-PER-202212-0001225,FTC-VT-PER-CO,Violation Issued-Failure To File 2022 Periodic Inspection Affirmation of Correction,Active,2P1212,Elevator,2022-12-31,Bronx,2464,23,1235,GRAND CONCOURSE,New York,New York,,2024640023,10452,40.835466,-73.916785,204,16,197,Concourse-Concourse Village
1003269,2023-04-25,042523LBLVIO03648,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2022 INSPECTION REPORT,Active,10000043822Y0001,Boiler,2022-12-31,Manhattan,274,14,75,MONROE STREET,New York,New York,,1002740014,10002,40.711749,-73.992602,103,1,8,Chinatown-Two Bridges
1050029,2017-02-24,022417LBLVIO01091,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2015 INSPECTION REPORT,Active,10000045873Y0001,Boiler,2015-12-31,Manhattan,1549,17,337,EAST 86 STREET,New York,New York,,1015490017,10028,40.777344,-73.950458,108,5,14602,Upper East Side-Yorkville
1047584,2011-12-13,121311LBLVIO02448,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2010 INSPECTION REPORT,Active,10000035707N0001,Boiler,2010-11-15,Manhattan,1510,52,1205,LEXINGTON AVENUE,New York,New York,,1015100052,10028,40.776685,-73.957622,108,4,140,Upper East Side-Carnegie Hill
1047584,2009-12-31,123109LBLVIO02898,LBLVIO,,Active,10000035707N0001,Boiler,2009-11-15,Manhattan,1510,52,1205,LEXINGTON AVENUE,New York,New York,,1015100052,10028,40.776685,-73.957622,108,4,140,Upper East Side-Carnegie Hill
2002815,2018-01-26,012618ACC104445,ACC1,,Active,2P594,Elevator,2016-12-31,Bronx,2461,58,960,GRAND CONCOURSE,New York,New York,,2024610058,10451,40.829305,-73.921346,204,16,18301,Concourse-Concourse Village
1062472,2004-04-21,042104LL108101622,LL1081,,Active,1P12493,Elevator,2003-12-31,Manhattan,2099,49,630,WEST 153 STREET,New York,New York,,1020990049,10031,40.831914,-73.947852,109,7,237,Hamilton Heights-Sugar Hill
2018349,2023-10-23,VIO-FTC-VT-CAT1-202112-0008910,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P675,Elevator,2021-12-31,Bronx,3347,10,3260,PERRY AVENUE,New York,New York,,2033470010,10467,40.876018,-73.876091,207,11,42902,Norwood
1085192,2005-01-31,013105LL629100178,LL6291,,Active,10000004640Y0001,Boiler,2004-12-31,Manhattan,1429,31,238,EAST   75 STREET,New York,New York,,1014290031,10021,40.771292,-73.958243,108,5,134,Upper East Side-Lenox Hill-Roosevelt Island
1041795,2019-11-08,110819LBLVIO01053,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,Active,10000049074Y0001,Boiler,2017-12-31,Manhattan,1391,13,19,EAST 76 STREET,New York,New York,,1013910013,10021,40.774585,-73.964043,108,4,130,Upper East Side-Carnegie Hill
2014943,1993-05-17,051793LL629105507,LL6291,,Active,20000927669Y0001,Boiler,1992-12-31,Bronx,3225,101,2316,LORING PLACE,New York,New York,,2032250101,10468,40.861995,-73.908169,207,14,255,University Heights (North)-Fordham
2018349,2023-10-23,VIO-FTC-VT-CAT1-202012-0010166,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2020 Cat1 Test Affirmation of Correction,Active,2P675,Elevator,2020-12-31,Bronx,3347,10,3260,PERRY AVENUE,New York,New York,,2033470010,10467,40.876018,-73.876091,207,11,42902,Norwood
2014942,1997-02-10,021097LL629114255,LL6291,,Active,20000927666Y0001,Boiler,1995-12-31,Bronx,3225,98,2312,LORING PLACE,New York,New York,,2032250098,10468,40.861916,-73.908231,207,14,255,University Heights (North)-Fordham
1004255,1999-03-16,031699LL629100530,LL6291,,Dismissed,10000913006Y0001,Boiler,1998-12-31,Manhattan,350,35,158,STANTON STREET,New York,New York,,1003500035,10002,40.720408,-73.985021,103,2,3001,Lower East Side
1047585,1993-03-18,031893LL629100959,LL6291,,Active,10000007757Y0001,Boiler,1992-12-31,Manhattan,1510,53,1201,LEXINGTON AVENUE,New York,New York,,1015100053,10028,40.776559,-73.957716,108,4,140,Upper East Side-Carnegie Hill
1030892,2005-01-31,013105LL629105389,LL6291,,Active,10000821927Y0002,Boiler,2004-12-31,Manhattan,1169,40,214,WEST 78 STREET,New York,New York,,1011690040,10024,40.782702,-73.979403,107,6,163,Upper West Side (Central)
1030892,1999-03-16,031699LL629103555,LL6291,,Active,10000016064Y0001,Boiler,1998-12-31,Manhattan,1169,40,214,WEST 78 STREET,New York,New York,,1011690040,10024,40.782702,-73.979403,107,6,163,Upper West Side (Central)
3324476,2023-11-14,VIO-FTC-BE-EXT-201912-0000659,FTC-BE-EXT-LP,Violation Issued-Failure To File 2019 External Inspection Affirmation of Correction for LP Device,Dismissed,30000202525Y0001,Boiler,2019-12-31,Brooklyn,1221,18,777,ST MARKS AVE,New York,New York,,3012210018,11213,40.675018,-73.946381,308,36,313,Crown Heights (North)
4080138,2023-10-23,VIO-FTC-VT-CAT1-202012-0000844,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2020 Cat1 Test Affirmation of Correction,Dismissed,4P688,Elevator,2020-12-31,Queens,3355,136,83-64,TALBOT STREET,New York,New York,,4033550136,11415,40.708612,-73.827665,409,29,138,Kew Gardens
1041041,2015-10-01,100115LBLVIO00492,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2014 INSPECTION REPORT,Active,10000023085Y0001,Boiler,2014-12-31,Manhattan,1378,45,40,EAST 64 STREET,New York,New York,,1013780045,10065,40.766561,-73.96878,108,4,122,Upper East Side-Carnegie Hill
4050658,2023-10-23,VIO-FTC-VT-CAT1-201912-0004402,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2019 Cat1 Test Affirmation of Correction,Dismissed,4P1634,Elevator,2019-12-31,Queens,2112,30,99-41,64 AVENUE,New York,New York,,4021120030,11374,40.731453,-73.85462,406,29,721,Forest Hills
1050028,1995-08-29,082995LL629109806,LL6291,,Active,10000907866Y0001,Boiler,1994-12-31,Manhattan,1549,16,335,EAST 86 STREET,New York,New York,,1015490016,10028,40.777358,-73.950494,108,5,14602,Upper East Side-Yorkville
2017465,2003-03-21,032103LL108101682,LL1081,,Active,2P1695,Elevator,2002-12-31,Bronx,3315,89,2805,GRAND CONCOURSE,New York,New York,,2033150089,10468,40.869195,-73.892012,207,14,40303,Bedford Park
2018647,2005-10-01,100105LL108102631,LL1081,,Active,2P1410,Elevator,2005-12-31,Bronx,3356,146,3525,DECATUR AVENUE,New York,New York,,2033560146,10467,40.879228,-73.872353,207,11,43102,Norwood
1047584,2000-02-07,020700LL629104674,LL6291,,Active,10000035707N0001,Boiler,1999-12-31,Manhattan,1510,52,1205,LEXINGTON AVENUE,New York,New York,,1015100052,10028,40.776685,-73.957622,108,4,140,Upper East Side-Carnegie Hill
2041215,2023-10-23,VIO-FTC-VT-CAT1-202112-0006392,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P904,Elevator,2021-12-31,Bronx,3947,1,2131,STARLING AVENUE,New York,New York,,2039470001,10462,40.836175,-73.854048,209,18,222,Parkchester
1060908,1989-10-12,101289ELL108103010,E,,Dismissed,1P15971,Elevator,1988-12-31,Manhattan,2048,25,105,EDGECOMBE AVENUE,New York,New York,,1020480025,10030,40.819948,-73.945849,110,9,22102,Harlem (North)
2007683,2023-11-14,VIO-FTC-BE-EXT-201812-0002169,FTC-BE-EXT-LP,Violation Issued-Failure To File 2018 External Inspection Affirmation of Correction for LP Device,Active,20000006900Y0001,Boiler,2018-12-31,Bronx,2808,12,1939,GRAND CONCOURSE,New York,New York,,2028080012,10453,40.850427,-73.905229,205,14,23501,Mount Hope
2024878,2023-10-23,VIO-FTC-VT-CAT1-202012-0002375,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2020 Cat1 Test Affirmation of Correction,Active,2P785,Elevator,2020-12-31,Bronx,3767,82,1215,WHITE PLAINS ROAD,New York,New York,,2037670082,10472,40.831107,-73.861901,209,18,72,Castle Hill-Unionport
4029194,2023-10-23,VIO-FTC-VT-CAT1-202112-0003217,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Dismissed,4P2158,Elevator,2021-12-31,Queens,1268,1,81-06,34 AVENUE,New York,New York,,4012680001,11372,40.753644,-73.885785,403,25,283,Jackson Heights
1064506,2023-11-14,VIO-FTC-BE-EXT-201912-0000337,FTC-BE-EXT-LP,Violation Issued-Failure To File 2019 External Inspection Affirmation of Correction for LP Device,Active,10000070873Y0001,Boiler,2019-12-31,Manhattan,2202,31,407,WEST 205 STREET,New York,New York,,1022020031,10034,40.862552,-73.918367,112,10,299,Inwood
2002814,2023-10-23,VIO-FTC-VT-CAT1-202112-0000894,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P634,Elevator,2021-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
2016127,2015-03-03,030315LBLVIO04244,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2013 INSPECTION REPORT,Dismissed,20000030802Y0001,Boiler,2013-12-31,Bronx,3266,90,3044,ALBANY CRESCENT,New York,New York,,2032660090,10463,40.877233,-73.90365,208,14,277,Kingsbridge Heights-Van Cortlandt Village
1050027,2000-02-07,020700LL629104881,LL6291,,Active,10000007392Y0002,Boiler,1999-12-31,Manhattan,1549,15,333,EAST 86 STREET,New York,New York,,1015490015,10028,40.777374,-73.950531,108,5,14602,Upper East Side-Yorkville
1060906,2023-10-23,VIO-FTC-VT-CAT1-202212-0019986,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Active,1P10083,Elevator,2022-12-31,Manhattan,2048,16,91,EDGECOMBE AVENUE,New York,New York,,1020480016,10030,40.819474,-73.946193,110,9,22102,Harlem (North)
2002814,2001-03-08,030801LL108101623,LL1081,,Active,2P634,Elevator,2000-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
3039777,1995-08-29,082995LL629129226,LL6291,,Active,30000078215N0001,Boiler,1994-12-31,Brooklyn,1485,47,937,JEFFERSON AVENUE,New York,New York,,3014850047,11221,40.686586,-73.921366,303,41,375,Bedford-Stuyvesant (East)
1059804,2023-06-20,062023LBLVIO14894,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2018 EXTERNAL LOW PRESSURE INSPECTION,Active,10000920414Y0001,Boiler,2018-12-31,Manhattan,1988,118,514,WEST 136 STREET,New York,New York,,1019880118,10031,40.820031,-73.952851,109,7,22301,Manhattanville-West Harlem
2002814,2003-03-21,032103LL108101460,LL1081,,Active,2P632,Elevator,2002-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
1041795,2009-12-31,123109LBLVIO02661,LBLVIO,,Active,10000049074Y0001,Boiler,2009-11-15,Manhattan,1391,13,19,EAST 76 STREET,New York,New York,,1013910013,10021,40.774585,-73.964043,108,4,130,Upper East Side-Carnegie Hill
2002849,2004-04-21,042104LL108101800,LL1081,,Active,2P121,Elevator,2003-12-31,Bronx,2464,23,1235,GRAND CONCOURSE,New York,New York,,2024640023,10452,40.835466,-73.916785,204,16,197,Concourse-Concourse Village
3039777,2004-02-13,021304LL629116585,LL6291,,Active,30000078215N0001,Boiler,2003-12-31,Brooklyn,1485,47,937,JEFFERSON AVENUE,New York,New York,,3014850047,11221,40.686586,-73.921366,303,41,375,Bedford-Stuyvesant (East)
2002814,2018-01-26,012618ACC104438,ACC1,,Active,2P632,Elevator,2016-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
3063299,2009-01-01,010109LL629112650,LL6291,,Active,30000068551Y0001,Boiler,2008-12-31,Brooklyn,2433,15,224,SOUTH    3 STREET,New York,New York,,3024330015,11211,40.711136,-73.958775,301,34,523,Williamsburg
2002814,2023-10-23,VIO-FTC-VT-CAT1-201912-0002166,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2019 Cat1 Test Affirmation of Correction,Active,2P631,Elevator,2019-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
1050028,2000-02-07,020700LL629104882,LL6291,,Active,10000907866Y0001,Boiler,1999-12-31,Manhattan,1549,16,335,EAST 86 STREET,New York,New York,,1015490016,10028,40.777358,-73.950494,108,5,14602,Upper East Side-Yorkville
1025173,2000-02-07,020700LL629103040,LL6291,,Active,10000039594Y0001,Boiler,1999-12-31,Manhattan,1041,5,365,WEST 50 STREET,New York,New York,,1010410005,10019,40.763211,-73.988272,104,3,133,Hell's Kitchen
2041215,2023-10-23,VIO-FTC-VT-CAT1-201812-0012519,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2018 Cat1 Test Affirmation of Correction,Active,2P905,Elevator,2018-12-31,Bronx,3947,1,2131,STARLING AVENUE,New York,New York,,2039470001,10462,40.836175,-73.854048,209,18,222,Parkchester
1059803,2020-01-17,011720LBLVIO00539,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,Dismissed,10000201850Y0002,Boiler,2017-12-31,Manhattan,1988,117,512,WEST 136 STREET,New York,New York,,1019880117,10031,40.820017,-73.952818,109,7,22301,Manhattanville-West Harlem
2002814,2023-10-02,VIO-FTC-VT-PER-202212-0004186,FTC-VT-PER-CO,Violation Issued-Failure To File 2022 Periodic Inspection Affirmation of Correction,Active,2P631,Elevator,2022-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
3078694,2000-02-07,020700LL629119979,LL6291,,Active,30000058291Y0001,Boiler,1999-12-31,Brooklyn,3406,57,1229,HALSEY STREET,New York,New York,,3034060057,11237,40.693356,-73.907745,304,37,437,Bushwick (East)
1020543,2023-10-02,VIO-FTC-VT-PER-202212-0010138,FTC-VT-PER-CO,Violation Issued-Failure To File 2022 Periodic Inspection Affirmation of Correction,Active,1P18318,Elevator,2022-12-31,Manhattan,927,1,301,EAST   21 STREET,New York,New York,,1009270001,10010,40.736437,-73.981427,106,2,64,Gramercy
2014943,2000-02-07,020700LL629111157,LL6291,,Active,20000927669Y0001,Boiler,1999-12-31,Bronx,3225,101,2316,LORING PLACE,New York,New York,,2032250101,10468,40.861995,-73.908169,207,14,255,University Heights (North)-Fordham
2014941,2001-03-08,030801LL108101810,LL1081,,Active,2P535,Elevator,2000-12-31,Bronx,3225,94,2300,LORING PLACE,New York,New York,,2032250094,10468,40.861675,-73.908416,207,14,255,University Heights (North)-Fordham
3063299,1999-03-16,031699LL629118034,LL6291,,Active,30000103053N0001,Boiler,1998-12-31,Brooklyn,2433,15,224,SOUTH    3 STREET,New York,New York,,3024330015,11211,40.711136,-73.958775,301,34,523,Williamsburg
2124437,2023-10-23,VIO-FTC-VT-CAT1-202112-0007940,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P11354,Elevator,2021-12-31,Bronx,5796,117,3620,OXFORD AVENUE,New York,New York,,2057960117,10463,40.886967,-73.908554,208,11,295,Riverdale-Spuyten Duyvil
2002815,2002-03-26,032602LL629109632,LL6291,,Active,20000007812Y0001,Boiler,2001-12-31,Bronx,2461,58,960,GRAND CONCOURSE,New York,New York,,2024610058,10451,40.829305,-73.921346,204,16,18301,Concourse-Concourse Village
3096699,2011-12-13,121311LBLVIO12799,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2010 INSPECTION REPORT,Active,30000060573Y0001,Boiler,2010-11-15,Brooklyn,4303,12,696,MILLER AVENUE,New York,New York,,3043030012,11207,40.663122,-73.88864,305,42,1122,East New York-New Lots
2002815,2003-03-19,031903LL629108852,LL6291,,Active,20000007812Y0001,Boiler,2002-12-31,Bronx,2461,58,960,GRAND CONCOURSE,New York,New York,,2024610058,10451,40.829305,-73.921346,204,16,18301,Concourse-Concourse Village
2002814,2018-01-26,012618ACC104439,ACC1,,Active,2P633,Elevator,2016-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
2013743,2023-10-23,VIO-FTC-VT-CAT1-202212-0009280,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Active,2P239,Elevator,2022-12-31,Bronx,3160,24,2065,GRAND CONCOURSE,New York,New York,,2031600024,10453,40.85297,-73.903175,205,14,23501,Mount Hope
1085192,2003-03-19,031903LL629104185,LL6291,,Active,10000004640Y0001,Boiler,2002-12-31,Manhattan,1429,31,238,EAST   75 STREET,New York,New York,,1014290031,10021,40.771292,-73.958243,108,5,134,Upper East Side-Lenox Hill-Roosevelt Island
4166895,2023-10-23,VIO-FTC-VT-CAT1-202212-0012247,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Dismissed,4P4272,Elevator,2022-12-31,Queens,7968,31,222-89,BRADDOCK AVENUE,New York,New York,,4079680031,11428,40.728384,-73.735581,413,23,1621,Bellerose
2014942,2002-03-26,032602LL629111561,LL6291,,Active,20000927666Y0001,Boiler,2001-12-31,Bronx,3225,98,2312,LORING PLACE,New York,New York,,2032250098,10468,40.861916,-73.908231,207,14,255,University Heights (North)-Fordham
1020570,2023-04-25,042523LBLVIO02753,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2022 INSPECTION REPORT,Dismissed,10000015026Y0001,Boiler,2022-12-31,Manhattan,928,9,313,EAST 22 STREET,New York,New York,,1009280009,10010,40.736992,-73.980821,106,2,64,Gramercy
2002814,2023-10-02,VIO-FTC-VT-PER-202212-0007808,FTC-VT-PER-CO,Violation Issued-Failure To File 2022 Periodic Inspection Affirmation of Correction,Active,2P633,Elevator,2022-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
2002815,2023-10-23,VIO-FTC-VT-CAT1-201912-0004247,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2019 Cat1 Test Affirmation of Correction,Active,2P593,Elevator,2019-12-31,Bronx,2461,58,960,GRAND CONCOURSE,New York,New York,,2024610058,10451,40.829305,-73.921346,204,16,18301,Concourse-Concourse Village
4135129,2023-06-20,062023LBLVIO22094,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2018 EXTERNAL LOW PRESSURE INSPECTION,Active,40000161671N0002,Boiler,2018-12-31,Queens,6077,51,34-43,FRANCIS LEWIS BOULEVARD,New York,New York,,4060770051,11358,40.765568,-73.789208,411,19,1099,Auburndale
3039108,2013-03-01,030113LBLVIO07134,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2011 INSPECTION REPORT,Active,30000062428Y0001,Boiler,2011-11-15,Brooklyn,1454,22,2044,BERGEN STREET,New York,New York,,3014540022,11233,40.674056,-73.912664,316,41,36501,Ocean Hill
1050028,1993-03-18,031893LL629113230,LL6291,,Active,10000907866Y0001,Boiler,1992-12-31,Manhattan,1549,16,335,EAST 86 STREET,New York,New York,,1015490016,10028,40.777358,-73.950494,108,5,14602,Upper East Side-Yorkville
1047585,2001-02-27,022701LL629104562,LL6291,,Active,10000007757Y0001,Boiler,2000-12-31,Manhattan,1510,53,1201,LEXINGTON AVENUE,New York,New York,,1015100053,10028,40.776559,-73.957716,108,4,140,Upper East Side-Carnegie Hill
4135129,2023-06-30,063023LBLVIO20644,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2020 EXTERNAL LOW PRESSURE INSPECTION,Active,40000161671Y0003,Boiler,2020-12-31,Queens,6077,51,34-43,FRANCIS LEWIS BOULEVARD,New York,New York,,4060770051,11358,40.765568,-73.789208,411,19,1099,Auburndale
1047584,2005-01-31,013105LL629101503,LL6291,,Active,10000035707N0001,Boiler,2004-12-31,Manhattan,1510,52,1205,LEXINGTON AVENUE,New York,New York,,1015100052,10028,40.776685,-73.957622,108,4,140,Upper East Side-Carnegie Hill
1004255,2002-03-26,032602LL629100566,LL6291,,Dismissed,10000913006Y0001,Boiler,2001-12-31,Manhattan,350,35,158,STANTON STREET,New York,New York,,1003500035,10002,40.720408,-73.985021,103,2,3001,Lower East Side
1005262,2013-03-01,030113LBLVIO00339,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2011 INSPECTION REPORT,Dismissed,10000021918Y0001,Boiler,2011-11-15,Manhattan,407,54,513,EAST 13 STREET,New York,New York,,1004070054,10009,40.729391,-73.98004,103,2,34,East Village
2049375,2023-10-23,VIO-FTC-VT-CAT1-202012-0003949,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2020 Cat1 Test Affirmation of Correction,Active,2P1656,Elevator,2020-12-31,Bronx,4317,40,2185,BOLTON STREET,New York,New York,,2043170040,10462,40.8559,-73.868667,211,13,22401,Pelham Parkway-Van Nest
2017807,2017-01-03,010317ACC104969,ACC1,,Active,2P612,Elevator,2015-12-31,Bronx,3328,90,3556,ROCHAMBEAU AVENUE,New York,New York,,2033280090,10467,40.882762,-73.878913,207,11,43101,Norwood
1047584,2017-02-24,022417LBLVIO00865,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2015 INSPECTION REPORT,Active,10000035707N0001,Boiler,2015-12-31,Manhattan,1510,52,1205,LEXINGTON AVENUE,New York,New York,,1015100052,10028,40.776685,-73.957622,108,4,140,Upper East Side-Carnegie Hill
3063299,2015-10-01,100115LBLVIO08489,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2014 INSPECTION REPORT,Active,30000103053N0001,Boiler,2014-12-31,Brooklyn,2433,15,224,SOUTH    3 STREET,New York,New York,,3024330015,11211,40.711136,-73.958775,301,34,523,Williamsburg
4135129,2023-06-20,062023LBLVIO22093,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2018 EXTERNAL LOW PRESSURE INSPECTION,Active,40000161671Y0003,Boiler,2018-12-31,Queens,6077,51,34-43,FRANCIS LEWIS BOULEVARD,New York,New York,,4060770051,11358,40.765568,-73.789208,411,19,1099,Auburndale
2050059,2023-11-14,VIO-FTC-BE-EXT-201912-0001613,FTC-BE-EXT-LP,Violation Issued-Failure To File 2019 External Inspection Affirmation of Correction for LP Device,Active,20000011991Y0001,Boiler,2019-12-31,Bronx,4348,5,2310,HOLLAND AVENUE,New York,New York,,2043480005,10467,40.859978,-73.865564,211,13,330,Allerton
2002814,2023-10-23,VIO-FTC-VT-CAT1-202112-0004287,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P633,Elevator,2021-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
